awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Fortituto Kontatto Bologna,Virtus Roma,65,79,67,67,96.6,117.4,117.4,96.6,0.465,0.45799999999999996,0.11900000000000001,0.08900000000000001,0.16,0.33299999999999996,0.21100000000000002,0.19699999999999998
Flexx Pistoia,Fortituto Kontatto Bologna,71,82,76,76,93.6,108.1,108.1,93.6,0.537,0.513,0.237,0.092,0.059000000000000004,0.35700000000000004,0.24100000000000002,0.053
Fortituto Kontatto Bologna,Red October Cantu,84,82,80,80,105.5,103.0,103.0,105.5,0.49200000000000005,0.493,0.113,0.138,0.15,0.21600000000000003,0.32799999999999996,0.13699999999999998
Fortituto Kontatto Bologna,Pallacanestro Trieste 2004,69,89,70,70,98.2,126.6,126.6,98.2,0.402,0.542,0.171,0.071,0.33299999999999996,0.263,0.429,0.153
Grissin Bon Reggio Emilia,Fortituto Kontatto Bologna,69,86,73,73,94.7,118.0,118.0,94.7,0.39,0.583,0.12300000000000001,0.151,0.35100000000000003,0.244,0.16399999999999998,0.136
Consultinvest VL Pesaro,Fortituto Kontatto Bologna,80,77,75,75,107.3,103.3,103.3,107.3,0.447,0.44299999999999995,0.107,0.174,0.375,0.341,0.17300000000000001,0.214
OpenJobMetis Varese,Fortituto Kontatto Bologna,76,79,66,66,115.9,120.4,120.4,115.9,0.515,0.564,0.076,0.13699999999999998,0.28600000000000003,0.161,0.10400000000000001,0.309
Fortituto Kontatto Bologna,Universo De'Longhi Treviso,66,78,68,68,97.3,114.9,114.9,97.3,0.52,0.5,0.324,0.11800000000000001,0.273,0.387,0.255,0.21899999999999997
Virtus Roma,Fortituto Kontatto Bologna,92,95,77,77,119.7,123.6,123.6,119.7,0.601,0.6559999999999999,0.14300000000000002,0.16899999999999998,0.226,0.233,0.13,0.24600000000000002
OpenJobMetis Varese,Pallacanestro Trieste 2004,92,62,72,72,127.4,85.8,85.8,127.4,0.637,0.38,0.152,0.19399999999999998,0.222,0.2,0.21,0.389
OpenJobMetis Varese,Grissin Bon Reggio Emilia,74,81,69,69,106.9,117.0,117.0,106.9,0.5,0.5,0.217,0.11599999999999999,0.314,0.258,0.233,0.473
Virtus Roma,OpenJobMetis Varese,69,99,69,69,100.2,143.7,143.7,100.2,0.491,0.684,0.16,0.102,0.259,0.138,0.207,0.368
OpenJobMetis Varese,Red October Cantu,67,74,67,67,100.3,110.8,110.8,100.3,0.46,0.516,0.135,0.09,0.212,0.22899999999999998,0.14300000000000002,0.14300000000000002
